Chinese	Pinyin	English
家	jiā	home
学校	xuéxiào	school
饭馆	fàn guǎn	restaurant
商店	shāngdiàn	store
医院	yīyuàn	hospital
火车站	huǒchēzhàn	train station
中国	zhōngguó	China
机场	jīchǎng	airport
教室	jiàoshì	classroom
房间	fángjiān	room
路	lù	road
北京	běijīng	Beijing
上	shàng	up
下	xià	below
前面	qiánmiàn	front
后面	hòumiàn	behind
左边	zuǒbiān	left
右边	yòubiān	right
外	wài	out
旁边	pángbiān	side
里面	lǐmiàn	inside
今天	jīntiān	today
明天	míngtiān	tomorrow
昨天	zuótiān	yesterday
上午	shàngwǔ	morning
中午	zhōngwǔ	noon
下午	xiàwǔ	afternoon
年	nián	year
月	yuè	month
日	rì	day
星期	xīngqī	week
点	diǎn	dot, spot
分钟	fēnzhōng	minute
现在	xiànzài	now
时候	shíhóu	time
早上	zǎoshàng	morning
晚上	wǎnshàng	night
小时	xiǎoshí	hour
时间	shíjiān	time
去年	qùnián	last year
号	hào	number
生日	shēngrì	birthday
爸爸	bàba	father
妈妈	māma	mother
儿子	érzi	son
女儿	nǚér	daughter
老师	lǎoshī	teacher
学生	xuéshēng	student
同学	tóngxué	shoolmate
朋友	péngyǒu	friend
医生	yīshēng	doctor
先生	xiānshēng	sir
小姐	xiǎojiě	Miss
哥哥	gēge	brother
姐姐	jiějie	sister
弟弟	dìdi	younger brother
妹妹	mèimei	sis
丈夫	zhàngfu	husband
妻子	qīzi	wife
孩子	háizi	child
男人	nánrén	man
女人	nǚrén	woman
服务员	fúwùyuán	waiter
衣服	yīfu	cloth
水	shuǐ	water
菜	cài	vegetable
米饭	mǐfàn	rice
水果	shuǐguǒ	fruit
苹果	píngguǒ	apple
茶	chá	tea
杯子	bēizi	cup
钱	qián	money
飞机	fēijī	airplane
出租车	chūzūchē	taxi
电视	diànshì	television
电脑	diànnǎo	computer
电影	diànyǐng	movie
天气	tiānqì	weather
猫	māo	cat
狗	gǒu	dog
东西	dōngxī	thing
鱼	yú	fish
羊肉	yángròu	mutton
牛奶	niúnǎi	milk
鸡蛋	jīdàn	egg
西瓜	xīguā	watermelon
咖啡	kāfēi	coffee
自行车	zìxíngchē	bike
船	chuán	boat
雪	xué	snow
药	yào	medicine
手机	shǒujī	phone
手表	shǒubiǎo	watch
眼睛	yǎnjīng	eye
身体	shēntǐ	body
公共汽车	gōnggòngqìchē	bus
报纸	bàozhǐ	newspaper
人	rén	person
名字	míngzi	name
书	shū	book
汉语	hànyǔ	Chinese
字	zì	character
桌子	zhuōōzi	desk
椅子	yǐzi	chair
门	mén	door
题	tí	topic
课	kè	lesson
姓	xìng	surname
问题	wèntí	question
事情	shìqing	matter
考试	kǎoshì	exam
票	piào	ticket
意思	yìsi	meaning
颜色	yánsè	color
