Chinese	Pinyin	English
唉	āi	alas
爱心	àixīn	love
安慰	ānwèi	comfort
岸	àn	bank
熬夜	áoyè	stay up late
包含	bāohán	Contain
宝贵	bǎoguì	valuable
保存	bǎocún	Preservation
保留	bǎoliú	Retain
报到	bàodào	register,check in
报告	bàogào	Presentation
悲观	bēiguān	Pessimism
背景	bèijǐng	background
被子	bèizi	quilt
本科	běnkē	Undergraduate
本领	běnlǐng	ability
比例	bǐlì	Proportion
必然	bìrán	Inevitable
必要	bìyào	necessary
鞭炮	biānpào	firecracker
辩论	biànlùn	Debate
标志	biāozhì	sign
表达	biǎodá	Expression
表面	biǎomiàn	surface
表情	biǎoqíng	Expression
表现	biǎoxiàn	performance
冰激凌	bīngjīlíng	ice cream
玻璃	bōli	Glass
博物馆	bówùguǎn	Museum
不断	búduàn	Constantly
不见得	bújiàndé	Not necessarily
不耐烦	búnàifán	Impatient
补充	bǔchōng	supplement
不然	bùrán	otherwise
不足	bùzú	insufficient
部门	bùmén	department
财产	cáichǎn	property
踩	cǎi	step on
采取	cǎiqǔ	take, adopt
参考	cānkǎo	Reference resources
操场	cāochǎng	Playground
插	chā	insert
叉子	chāzi	Fork
拆	chāi	Remove
产生	chǎnshēng	produce
常识	chángshí	common sense
潮湿	cháoshī	damp
吵	chǎo	Noisy
车库	chēkù	Garage
彻底	chèdǐ	thorough
趁	chèn	while
称	chēng	call
称赞	chēngzàn	Praise
承担	chéngdān	bear
承受	chéngshòu	bear
程序	chéngxù	program
成立	chénglì	establish
成人	chéngrén	adult
成语	chéngyǔ	idiom
诚恳	chéngkěn	sincere
持续	chíxù	Continued
尺子	chǐzi	Ruler
冲	chōng	punching
充分	chōngfèn	To the full
重复	chóngfù	repeat
宠物	chǒngwù	Pet
抽象	chōuxiàng	abstract
丑	chǒu	ugly
出口	chūkǒu	Exit
出示	chūshì	show
出席	chūxí	Attend
除非	chúfēi	Unless
除夕	chúxī	the New Year’s Eve
处理	chǔlǐ	Handle
传染	chuánrǎn	contagion
传统	chuántǒng	tradition
闯	chuǎng	 rush; dash
吹	chuī	blow
此外	cǐwài	in addition
次要	cìyào	secondary
匆忙	cōngmáng	hastily
从而	cóng’ér	thus
从前	cóngqián	before
粗糙	cūcāo	rough
醋	cù	vinegar
促使	cùshǐ	Urge
措施	cuòshī	Measures
打工	dǎgōng	Work
大厦	dàshà	Large building
大象	dàxiàng	Elephant
代表	dàibiǎo	representative
待遇	dàiyù	treatment
单调	dāndiào	monotonous
单位	dānwèi	Company
担任	dānrèn	To serve as
耽误	dānwu	delay
淡	dàn	light
倒霉	dǎoméi	fall on evil days
道理	dàolǐ	truth
登记	dēngjì	register
等于	děngyú	Be equal to
滴	dī	drop
敌人	dírén	Enemy
递	dì	Delivery
地毯	dìtǎn	Carpet
地震	dìzhèn	earthquake
电池	diànchí	Battery
顶	dǐng	top
冻	dòng	freeze
动画片	dònghuàpiàn	Cartoon
逗	dòu	Funny
独特	dútè	unique
度过	dùguò	Spend
对比	duìbǐ	Contrast
对待	duìdài	treat
对手	duìshǒu	Opponent
吨	dūn	ton
顿	dùn	Meal
多亏	duōkuī	thanks to
朵	duǒ	classifier of flower
发表	fābiǎo	Publish
发达	fādá	To develop
发挥	fāhuī	Develop
发票	fāpiào	invoice
发言	fāyán	give a speech
罚款	fákuǎn	forfeit; amerce; fine
法院	fǎyuàn	Court
繁荣	fánróng	Boom
反而	fǎn’ér	Instead
反应	fǎnyìng	reaction
反正	fǎnzhèng	anyway
范围	fànwéi	Range
方案	fāng’àn	programme
方式	fāngshì	mode
妨碍	fáng’ài	Hinder
肥皂	féizào	soap
分布	fēnbù	distribution
分手	fēnshǒu	Break up
风景	fēngjǐng	Scenery
风险	fēngxiǎn	risk
讽刺	fěngcì	satire
否认	fǒurèn	deny
扶	fú	hold up
复制	fùzhì	copy
改进	gǎijìn	Improvement
改正	gǎizhèng	correction
概括	gàikuò	Generalization
感想	gǎnxiǎng	Feel
赶快	gǎnkuài	hurry up
