Chinese	Pinyin	English
家	jiā	home
学校	xuéxiào	school
饭店	fàndiàn	restaurant
商店	shāngdiàn	store
医院	yīyuàn	hospital
火车站	huǒchēzhàn	train station
中国	zhōng guó	China
北京	běijīng	Beijing
上	shàng	up
下	xià	down
前面	qiánmiàn	front
后面	hòumiàn	behind
里	lǐmiàn	inside
今天	jīntiān	today
明天	míngtiān	tomorrow
昨天	zuótiān	yesterday
上午	shàngwǔ	morning
中午	zhōngwǔ	noon
下午	xiàwǔ	afternoon
年	nián	year
月	yuè	month
日	rì	day
星期	xīngqī	week
点	diǎn	dot, spot
分钟	fēnzhōng	minute
现在	xiànzài	now
时候	shíhou	time
爸爸	bàba	father
妈妈	māma	mother
儿子	érzi	son
女儿	nǚér	daughter
老师	lǎoshī	teacher
学生	xuéshēng	student
同学	tóngxué	shoolmate
朋友	péngyou	friend
医生	yīshēng	doctor
先生	xiānsheng	sir
小姐	xiǎojiě	Miss
衣服	yīfu	cloth
水	shuǐ	water
菜	cài	vegetable
米饭	mǐfàn	rice
水果	shuǐguǒ	fruit
苹果	píngguǒ	apple
茶	chá	tea
杯子	bēizi	cup
钱	qián	money
飞机	fēijī	airplane
出租车	chūzūchē	taxi
电视	diànshì	television
电脑	diànnǎo	computer
电影	diànyǐng	movie
天气	tiānqì	weather
猫	māo	cat
狗	gǒu	dog
东西	dōngxi	thing
人	rén	person
名字	míngzi	name
书	shū	book
汉语	hànyǔ	mandarin Chinese
字	zì	character
桌子	zhuōzi	desk
椅子	yǐzi	chair
